省份,市,区域,医院名,地理位置,电话
重庆省,大渡口区,大渡口区,跃进村社区卫生服务中心,大渡口区革新村特1号,023-68844772
重庆省,大渡口区,大渡口区,大渡口区新山村街道社区卫生服务中心 ,大渡口区钢花路94号,68683660
重庆省,大渡口区,大渡口区,重庆市大渡口区跳磴镇卫生院,重庆市大渡口区跳蹬镇石林大道2号附53号,023-68535112
重庆省,大渡口区,大渡口区,大渡口区茄子溪街道社区卫生服务中心,大渡口区茄子溪新街246号,89125189
重庆省,大渡口区,大渡口区,九宫庙街道社区卫生服务中心,大渡口区九宫庙街道新工二村48号,68846954
重庆省,大渡口区,大渡口区,大渡口区春晖路街道社区卫生服务中心,大渡口区鑫康路16号,
重庆省,大渡口区,大渡口区,重钢总医院（二级甲等）,重庆市大渡口区大堰三村特1号,
重庆省,万盛经济技术开发区,万盛经济技术开发区,万东镇中心卫生院,万盛经济技术开发区万东北路60号,
重庆省,万盛经济技术开发区,万盛经济技术开发区,重庆市万盛经开区丛林镇卫生院,重庆市万盛经开区丛林镇黄泥堡,
重庆省,万盛经济技术开发区,万盛经济技术开发区,重庆市万盛经开区关坝镇中心卫生院,重庆市万盛经开区关坝镇兴隆街244号,
重庆省,万盛经济技术开发区,万盛经济技术开发区,黑山镇公共卫生服务中心,重庆市万盛经开区黑山镇马家坳,
重庆省,万盛经济技术开发区,万盛经济技术开发区,重庆市万盛经开区万盛街道社区卫生服务中心,重庆市万盛经开区万新路101号,
重庆省,万盛经济技术开发区,万盛经济技术开发区,万盛经开区金桥镇卫生院,万盛经济技术开发区金桥镇金灵庙,
重庆省,万盛经济技术开发区,万盛经济技术开发区,重庆市万盛经开区南桐镇中心卫生院,重庆市万盛经开区南桐镇动力村787号,
重庆省,万盛经济技术开发区,万盛经济技术开发区,重庆市万盛经开区青年镇中心卫生院,重庆市万盛经开区青年镇桐梓街31号,
重庆省,万盛经济技术开发区,万盛经济技术开发区,万盛经开区人民医院,万盛经济技术开发区万盛街道万东北路43号,
重庆省,万盛经济技术开发区,万盛经济技术开发区,重庆市万盛经开区石林镇卫生院公共卫生服务中心,重庆市万盛经开区石林镇星台村石坎子社,
重庆省,万盛经济技术开发区,万盛经济技术开发区,万盛经济技术开发区南桐镇中心卫生院,重庆市万盛经开区南桐镇动力村787号,
重庆省,万盛经济技术开发区,万盛经济技术开发区,重庆南桐矿业有限责任公司总医院（二级甲等）,重庆市万盛经济技术开发区清溪桥34号,
重庆省,合川区,合川区,盐井街道社区卫生服务中心,合川区盐井街道纤藤街82号,
重庆省,合川区,合川区,南津街街道社区卫生服务中心,合川区南津街井湾街135号,
重庆省,合川区,合川区,合阳城街道社区卫生服务中心,合川区合阳城沙北路,
重庆省,合川区,合川区,南津街东津沱社区卫生服务中心,合川区东津沱豫丰街81号,
重庆省,合川区,合川区,钓鱼城街道社区卫生服务中心,合川区合师路339号,
重庆省,合川区,合川区,大石街道社区卫生服务中心,合川区大石镇长安路198号,
重庆省,合川区,合川区,草街街道社区卫生服务中心,渝北区草街街道办事处玉龙场龙滩路1号,
重庆省,渝北区,渝北区,龙兴中心卫生院（一级甲等）、龙兴和合家园社区卫生服务中心,渝北区龙兴镇龙华路93号、渝北区龙兴镇和合家园,
重庆省,渝北区,渝北区,回兴社区卫生服务中心（一级）,渝北区回兴街道兴科三路82号富悦新城8幢1-3,
重庆省,渝北区,渝北区,大湾中心卫生院（一级）,渝北区大湾镇滨河路500号,
重庆省,渝北区,渝北区,悦来社区卫生服务中心（一级）,重庆市渝北区悦来街道嘉陵路287号,
重庆省,渝北区,渝北区,古路中心卫生院（一级）,渝北区古路镇草坪街406号,
重庆省,渝北区,渝北区,玉峰山中心卫生院（一级）,渝北区玉峰山镇石坪北路144号,
重庆省,渝北区,渝北区,木耳中心卫生院,渝北区木耳镇木兰路595号,
重庆省,渝北区,渝北区,洛碛中心卫生院（一级甲等),渝北区洛碛镇花园路1号,
重庆省,渝北区,渝北区,渝北区龙塔社区服务中心,渝北区黄泥滂紫园路21号,
重庆省,渝北区,渝北区,大盛中心卫生院,渝北区大盛镇兴乐路500号,
重庆省,渝北区,渝北区,茨竹中心卫生院,渝北区茨竹镇竹园支路83号,
重庆省,渝北区,渝北区,渝北区疾病预防控制中心,渝北区回兴街道双湖支路73号,
重庆省,渝北区,渝北区,渝北区中医院（二级甲等）,渝北区渝航路87号,
重庆省,渝北区,渝北区,渝北区人民医院（二级甲等）,渝北区双龙湖街道建设路62号,
重庆省,渝北区,渝北区,渝北区第二人民医院、龙溪社区卫生服务中心（二级综合）,渝北区龙溪街道武陵路一号,
重庆省,梁平县,梁平县,紫照乡卫生院,梁平县紫照乡青锋村3组,
重庆省,梁平县,梁平县,云龙中心卫生院,梁平县云龙镇龙溪路88号,
重庆省,梁平县,梁平县,袁驿中心卫生院,梁平县袁驿镇宝珠大道,
重庆省,梁平县,梁平县,荫平镇卫生院,梁平县荫平镇柳荫街59号,
重庆省,梁平县,梁平县,新盛中心卫生院,梁平县新盛中心卫生院,
重庆省,梁平县,梁平县,文化镇卫生院,梁平县文化镇新下街3号,
重庆省,梁平县,梁平县,铁门乡卫生院,梁平县铁门乡新铁街51号2-1,
重庆省,梁平县,梁平县,双桂街道社区卫生服务中心,梁平县双桂街道镇龙村3组,
重庆省,梁平县,梁平县,石安镇卫生院,梁平县石安镇东街23号,
重庆省,梁平县,梁平县,仁贤中心卫生院,梁平县仁贤镇下街24号,
重庆省,梁平县,梁平县,曲水乡卫生院,梁平县曲水乡梁东路23号,
重庆省,梁平县,梁平县,七星镇卫生院,梁平县七星镇街道,
重庆省,梁平县,梁平县,屏锦中心卫生院,梁平县屏锦镇明月路227号,
重庆省,梁平县,梁平县,蟠龙镇卫生院,梁平县蟠龙镇青垭村5组,
重庆省,梁平县,梁平县,明达镇卫生院,梁平县明达镇康居大道,
重庆省,梁平县,梁平县,龙胜乡卫生院,梁平县龙胜乡龙胜村7组,
重庆省,梁平县,梁平县,龙门镇卫生院,梁平县龙门镇龙舟街89号,
重庆省,梁平县,梁平县,梁山街道社区卫生服务中心,梁平县人民南路52号,
重庆省,梁平县,梁平县,梁山街道城东卫生院,梁平县梁山街道蓼叶村12组,
重庆省,梁平县,梁平县,梁平县疾病预防控制中心,梁山镇双桂路241号,
重庆省,梁平县,梁平县,礼让中心卫生院,梁平县礼让镇繁华路94号,
重庆省,梁平县,梁平县,聚奎镇卫生院,梁平县聚奎镇中心街22号,
重庆省,梁平县,梁平县,金带镇卫生院,梁平县金带镇金桂路39号,
重庆省,梁平县,梁平县,回龙镇卫生院,梁平县回龙镇隆兴街116号,
重庆省,梁平县,梁平县,虎城中心卫生院,梁平县虎城镇虎柚路127号,
重庆省,梁平县,梁平县,和林镇卫生院,梁平县和林镇桂林路95号,
